# Kalmasoft Databases
# Database of Transcripted Arabic Names
# References: www.kalmasoft.com/KLEX/dbgivnnm.htm, www.kalmasoft.com/KLEX/dbsurnm.htm
# Created: 19/11/2019
# Updated: 26/11/2019
# Encoding: UTF8
# Delimiter: TAB
# Unique Arabic names: +300K
# Total entries: 1,500,000+
# Supported languages : 5
# Copyright 1999-2019 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# ================================================
# Attributes:
#	ID: Reference ID [A######]
#	Arabic: unvocalized Arabic name
#	Trans: transcription
#	Script: language script name
#		AM: Amharic
#		GR: Greek
#		HE: Hebrew
#		JA: Japanese (Katakana)
#		RU: Russian
#	Gender: M: male, F: female, U: unisex
#	Type: G: given; S: Surname, P: geogrpahic Nisba "place", B: professional Nisba "business", C: tribal Nisba "clan", K: Kunya, N: Nasab.
# =================================================
ID	Arabic	Trans	Script	Gender	Type
A000032	بنعبد الله	ቢንዐቤድ አልህ	AM	M	N
A000033	بن شملان	ቢን ሸምልአን	AM	M	N
A000034	سها	ሡሀ	AM	F	G
A000035	سهاء	ሡሀአ	AM	F	G
A000036	سهابي	ሠህአቢ	AM	M	G
A000037	سهاد	ሡሀድ	AM	F	G
A000038	سهاري	ሠሀሪ	AM	F	G
A000039	سهام	ሢሀም	AM	F	G
A000040	سهام الدين	ሢሀሙ አድዬን	AM	M	G
A000041	سهامة	ሠሀመ	AM	F	G
A000042	سهامة	ሢሀመ	AM	F	G
A000043	سهاي	ሢህአ	AM	M	G
A000044	سهايب	ሠህአዬቤ	AM	M	G
A000045	سهايل	ሠህአዬል	AM	M	G
A000046	سهب	ሠህቤ	AM	M	G
A000047	سهبان	ሠህበአን	AM	M	G
A000048	سهتاني	ሠህታኒ	AM	M	G
A000049	سهجان	ሠህጃን	AM	M	G
A000050	سهد	ሡህድ	AM	M	G
A000051	سهدي	ሠህዲ	AM	M	G
A000052	سهر	ሠሀር	AM	F	G
A000053	سهراب	ሠህረአቤ	AM	M	G
A000054	سهرابي	ሠህርአቢ	AM	M	G
A000055	سهران	ሠህረአን	AM	M	G
A000056	سهرة	ሠህረ	AM	F	G
A000057	سهل	ሠህል	AM	M	G
A000058	سهلاء	ሠህልአ	AM	M	G
A000059	سهلالي	ሠህልአሊ	AM	M	G
A000060	سهلان	ሠህለአን	AM	M	G
A000061	سهلة	ሠህለ	AM	F	G
A000062	سهلول	ሠህሉዏል	AM	M	G
A000063	سهلي	ሠህሊ	AM	M	G
A000064	سهم	ሠህም	AM	M	G
A000065	سهم الدين	ሠህሙ አድዬን	AM	M	G
A000066	سهمود	ሠህሙድ	AM	M	G
A000067	سهند	ሡሀንድ	AM	M	G
A000068	سهو	ሠህዏ	AM	F	G
A000069	سهوان	ሠህወአን	AM	M	G
A000070	سهول	ሠሁዏል	AM	M	G
A000071	سهول	ሡሁዏል	AM	M	G
A000072	سهؤ	ሠህው	AM	M	G
A000073	سهى	ሡሀ	AM	F	G
A000074	سهيب	ሠሂዬቤ	AM	M	G
A000075	سهير	ሡሀዬር	AM	F	G
A000076	سهيرة	ሠሂዬረ	AM	F	G
A000077	سهيف	ሠሂዬቭ	AM	M	G
A000078	سهيل	ሠሂዬል	AM	M	G
A000079	سهيل	ሡሀዬል	AM	M	G
A000080	سهيلا	ሡሀዬለ	AM	F	G
A000081	سهيلة	ሠሂዬለ	AM	F	G
A000082	سهيلة	ሡሀዬለ	AM	F	G
A000083	سهيلي	ሠሂዬሊ	AM	M	S
A000084	سهيم	ሠሂዬም	AM	M	G
A000085	سهيمة	ሠሂዬመ	AM	F	G
A000086	سواء	ሠወአ	AM	F	G
A000087	سوات	ሠዋት	AM	M	G
A000088	سواحة	ሠዏአሐ	AM	F	G
A000089	سواحرة	ሠዋሒር	AM	M	C
A000090	سواحري	ሠዋሒሪ	AM	M	C
A000091	سواحل	ሠዋሒል	AM	M	G
A000092	سواحلة	ሠዋሒል	AM	M	C
A000093	سواخنة	ሠዋኺን	AM	M	C
A000094	سوادة	ሠወአደ	AM	F	G
A000095	سوادحة	ሠዋዲኅ	AM	M	C
A000096	سوادي	ሠወአዲ	AM	F	G
A000097	سوار	ሢወአር	AM	M	G
A000098	سوارة	ሢወአረ	AM	F	G
A000099	سوارس	ሠዋሪሥ	AM	M	G
A000100	سوارقة	ሠዋሪቇ	AM	M	C
A000101	سواركة	ሠዋሪክ	AM	M	C
A000102	سوارين	ሢወአረዬን	AM	F	G
A000103	سواعدة	ሠዋዒድ	AM	M	C
A000104	سواعنة	ሠዋዒን	AM	M	C
A000105	سواغنة	ሠዋጊን	AM	M	C
A000106	سوافطة	ሠዋቪጥ	AM	M	C
A000107	سواقعة	ሠወአቂዐ	AM	M	C
A000108	سوالفة	ሠዋሊቭ	AM	M	C
A000109	سوالقة	ሠዋሊቇ	AM	M	C
A000110	سوالكة	ሠዋሊክ	AM	M	C
A000111	سوالمة	ሠዋሊም	AM	M	C
A000112	سوالمي	ሠወአሊሚ	AM	M	S
A000113	سوامرة	ሠዋሚር	AM	M	C
A000114	سوبرة	ሠውበር	AM	F	G
A000115	سوداء	ሠውደ	AM	F	G
A000116	سوداني	ሡዏደአኒ	AM	M	S
A000117	سودة	ሡዏደ	AM	F	G
A000118	عذبة	ዐዝበ	AM	F	G
A000119	عذر	ዐዝር	AM	M	G
A000120	عذراء	ዐዝረአ	AM	F	G
A000121	عذرة	ዐዝረ	AM	F	G
A000122	عذرون	ዐዝሩዏን	AM	M	G
A000123	عذري	ዐዝሪ	AM	M	S
A000124	عذلة	ዐዝል	AM	F	G
A000125	عذوف	ዐዙዏቭ	AM	M	G
A000126	عذيب	ዐዚዬቤ	AM	M	G
A000127	عذيبة	ዐዚዬበ	AM	F	G
A000128	عذيبي	ዐዚዬቢ	AM	M	G
A000129	الطميهي	አጢመዬሂ	AM	M	S
A000130	الطميوي	አጢመዬዊ	AM	M	S
A000131	الطنيحي	አጢነዬሒ	AM	M	S
A000132	الطنيخي	አጢነዬኺ	AM	M	S
A000133	الطنيزي	አጢነዬዚ	AM	M	S
A000134	الطنيقي	አጢነዬቂ	AM	M	S
A000135	الطنيمي	አጢነዬሚ	AM	M	S
A000136	الطهيشي	አጢሀዬሺ	AM	M	S
A000137	الطهيطي	አጢሀዬጢ	AM	M	S
A000138	الطهيفي	አጢሀዬቪ	AM	M	S
A000139	الطهيقي	አጢሀዬቂ	AM	M	S
A000140	الطهيني	አጢሀዬኒ	AM	M	S
A000141	الطويبي	አጢወዬቢ	AM	M	S
A000142	الطويخي	አጢወዬኺ	AM	M	S
A000143	الطويدي	አጢወዬዲ	AM	M	S
A000144	الطويري	አጢወዬሪ	AM	M	S
A000145	الطويريقي	አጢወዬሪዬቄ	AM	M	S
A000146	الطويشي	አጢወዬሺ	AM	M	S
A000147	الطويطين	አጢወዬጢዬን	AM	M	S
A000148	الطويعي	አጢወዬዒ	AM	M	S
A000149	الطويقي	አጢወዬቂ	AM	M	S
A000150	الطويكي	አጢወዬኪ	AM	M	S
A000151	الطويلية	አጢወዬሊዬ	AM	M	S
A000152	الطويني	አጢወዬኒ	AM	M	S
A000153	الطويهي	አጢወዬሂ	AM	M	S
A000154	الطويوي	አጢወዬዊ	AM	M	S
A000155	الظبيبي	አዢበዬቢ	AM	M	S
A000156	الظبيري	አዢበዬሪ	AM	M	S
A000157	الظبيطي	አዢበዬጢ	AM	M	S
A000158	الظبيعي	አዢበዬዒ	AM	M	S
A000159	الظريبي	አዢረዬቢ	AM	M	S
A000160	الظريسي	አዢረዬሢ	AM	M	S
A000161	الظريفي	አዢረዬቪ	AM	M	S
A000162	الظريقي	አዢረዬቂ	AM	M	S
A000163	الظريمي	አዢረዬሚ	AM	M	S
A000164	الظريني	አዢረዬኒ	AM	M	S
A000165	الظعيني	አዢዐዬኒ	AM	M	S
A000166	الظليلي	አዢለዬሊ	AM	M	S
A000167	الظليمي	አዢለዬሚ	AM	M	S
A000168	الظميري	አዢመዬሪ	AM	M	S
A000169	الظميني	አዢመዬኒ	AM	M	S
A000170	الظنيني	አዢነዬኒ	AM	M	S
A000171	الظهيبي	አዢሀዬቢ	AM	M	S
A000172	الظهيري	አዢሀዬሪ	AM	M	S
A000173	الظهيفي	አዢሀዬቪ	AM	M	S
A000174	الظويري	አዢወዬሪ	AM	M	S
A000175	الظويعي	አዢወዬዒ	AM	M	S
A000176	الظويلي	አዢወዬሊ	AM	M	S
A000177	العبدولي	አልዐቤዱዏሊ	AM	M	S
A000178	العطوي	አልዐጡዌ	AM	M	S
A000179	العنفولي	አልዐንቩዏሊ	AM	M	S
A000180	العيسولي	አልዐዬሡዏሊ	AM	M	S
A000181	العبيتي	አልዒበዬቲ	AM	M	S
A000182	العبيخي	አልዒበዬኺ	AM	M	S
A000183	العبيدي	አልዒበዬዲ	AM	M	S
A000184	العبيري	አልዒበዬሪ	AM	M	S
A000185	العبيسي	አልዒበዬሢ	AM	M	S
A000186	العبيسية	አልዒበዬሢዬ	AM	M	C
A000187	العبيشي	አልዒበዬሺ	AM	M	S
A000188	العبيطي	አልዒበዬጢ	AM	M	S
A000189	العبيكي	አልዒበዬኪ	AM	M	S
A000190	العبيلي	አልዒበዬሊ	AM	M	S
A000191	العبيوي	አልዒበዬዊ	AM	M	S
A000192	العتيبي	አልዒተዬቢ	AM	M	S
A000193	العتيبية	አልዒተዬቢዬ	AM	M	S
A000194	العتيري	አልዒተዬሪ	AM	M	S
A000195	العتيسي	አልዒተዬሢ	AM	M	S
A000196	العتيفي	አልዒተዬቪ	AM	M	S
A000197	العتيقي	አልዒተዬቂ	AM	M	S
A000198	العتيلي	አልዒተዬሊ	AM	M	S
A000199	العتيلية	አልዒተዬሊዬ	AM	M	S
A000200	العتيمي	አልዒተዬሚ	AM	M	S
A000201	العتيني	አልዒተዬኒ	AM	M	S
A000202	العثيثي	አልዒሰዬሲ	AM	M	S
A000203	العثيري	አልዒሰዬሪ	AM	M	S
A000204	العثيلي	አልዒሰዬሊ	AM	M	S
A000205	العثيمي	አልዒሰዬሚ	AM	M	S
A000206	العثيني	አልዒሰዬኒ	AM	M	S
A000207	العجيبي	አልዒጀዬቢ	AM	M	S
A000208	العجيجي	አልዒጀዬጂ	AM	M	S
A000209	العجيدي	አልዒጀዬዲ	AM	M	S
A000210	العجيري	አልዒጀዬሪ	AM	M	S
A000211	العجيزي	አልዒጀዬዚ	AM	M	S
A000212	العجيلي	አልዒጀዬሊ	AM	M	S
A000213	العجيمي	አልዒጀዬሚ	AM	M	S
A000214	العجيني	አልዒጀዬኒ	AM	M	S
A000215	العديبي	አልዒደዬቢ	AM	M	S
A000216	العديحي	አልዒደዬሒ	AM	M	S
A000217	العديدي	አልዒደዬዲ	AM	M	S
A000218	العديري	አልዒደዬሪ	AM	M	S
A000219	العديسي	አልዒደዬሢ	AM	M	S
A000220	العديقي	አልዒደዬቂ	AM	M	S
A000221	العديلي	አልዒደዬሊ	AM	M	S
A000222	العديمي	አልዒደዬሚ	AM	M	S
A000223	العديوي	አልዒደዬዊ	AM	M	S
A000224	العذيبي	አልዒዘዬቢ	AM	M	S
A000225	العذيتي	አልዒዘዬቲ	AM	M	S
A000226	العذيدي	አልዒዘዬዲ	AM	M	S
A000227	العذيذي	አልዒዘዬዚ	AM	M	S
A000228	العذيري	አልዒዘዬሪ	AM	M	S
A000229	العذيقي	አልዒዘዬቂ	AM	M	S
A000230	العذيلي	አልዒዘዬሊ	AM	M	S
A000231	العذيمي	አልዒዘዬሚ	AM	M	S
A000232	العريبيب	አልዒረዬቢዬቤ	AM	M	S
A000233	العريتي	አልዒረዬቲ	AM	M	S
A000234	العريثي	አልዒረዬሲ	AM	M	S
A000235	العريجي	አልዒረዬጂ	AM	M	S
A000236	العريحي	አልዒረዬሒ	AM	M	S
A000237	العريدي	አልዒረዬዲ	AM	M	S
A000238	العريري	አልዒረዬሪ	AM	M	S
A000239	العريزي	አልዒረዬዚ	AM	M	S
A000240	العريسي	አልዒረዬሢ	AM	M	S
A000241	العريسية	አልዒረዬሢዬ	AM	M	S
A000242	العريسيس	አልዒረዬሢዬሥ	AM	M	S
A000243	العريشي	አልዒረዬሺ	AM	M	S
A000244	العريشية	አልዒረዬሺዬ	AM	M	S
A000245	العريضي	አልዒረዬዸ	AM	M	S
A000246	العريطي	አልዒረዬጢ	AM	M	S
A000247	العريعي	አልዒረዬዒ	AM	M	S
A000248	العريفيج	አልዒረዬቪዬጅ	AM	M	S
A000249	العريقي	አልዒረዬቂ	AM	M	S
A000250	العريقيل	አልዒረዬቂዬል	AM	M	S
A000251	العريكي	አልዒረዬኪ	AM	M	S
A000252	العريمي	አልዒረዬሚ	AM	M	S
A000253	العريمية	አልዒረዬሚዬ	AM	M	S
A000254	العريمين	አልዒረዬሚዬን	AM	M	C
A000255	العريوي	አልዒረዬዊ	AM	M	S
A000256	العزيبي	አልዒዘዬቢ	AM	M	S
A000257	العزيحي	አልዒዘዬሒ	AM	M	S
A000258	العزيدي	አልዒዘዬዲ	AM	M	S
A000259	العزيري	አልዒዘዬሪ	AM	M	S
A000260	العزيزي	አልዒዘዬዚ	AM	M	S
A000261	العزيزية	አልዒዘዬዚዬ	AM	M	S
A000262	العزيكي	አልዒዘዬኪ	AM	M	S
A000263	العزيلي	አልዒዘዬሊ	AM	M	S
A000264	العزيوي	አልዒዘዬዊ	AM	M	S
A000265	العسيبي	አልዒሠዬቢ	AM	M	S
A000266	العسيدي	አልዒሠዬዲ	AM	M	S
A000267	العسيري	አልዒሠዬሪ	AM	M	S
A000268	العسيرية	አልዒሠዬሪዬ	AM	M	S
A000269	العسيسي	አልዒሠዬሢ	AM	M	S
A000270	العسيقي	አልዒሠዬቂ	AM	M	S
A000271	العسيمي	አልዒሠዬሚ	AM	M	S
A000272	العسيني	አልዒሠዬኒ	AM	M	S
A000273	العسيوي	አልዒሠዬዊ	AM	M	S
A000274	العشيبي	አልዒሸዬቢ	AM	M	S
A000275	العشيتي	አልዒሸዬቲ	AM	M	S
A000276	العشيدي	አልዒሸዬዲ	AM	M	S
A000277	العشيري	አልዒሸዬሪ	AM	M	S
A000278	العشيسي	አልዒሸዬሢ	AM	M	S
A000279	العشيشي	አልዒሸዬሺ	AM	M	S
A000280	العشيمي	አልዒሸዬሚ	AM	M	S
A000281	العشيني	አልዒሸዬኒ	AM	M	S
A000282	العشيوي	አልዒሸዬዊ	AM	M	S
A000283	العصيبي	አልዒፀዬቢ	AM	M	S
A000284	العصيدي	አልዒፀዬዲ	AM	M	S
A000285	العصيري	አልዒፀዬሪ	AM	M	S
A000286	العصيصي	አልዒፀዬፂ	AM	M	S
A000287	العصيطي	አልዒፀዬጢ	AM	M	S
A000288	العصيعي	አልዒፀዬዒ	AM	M	S
A000289	العصيفي	አልዒፀዬቪ	AM	M	S
A000290	العصيمي	አልዒፀዬሚ	AM	M	S
A000291	العويقي	አልዒወዬቂ	AM	M	S
A000292	العويقيل	አልዒወዬቂዬል	AM	M	S
A000293	العويلي	አልዒወዬሊ	AM	M	S
A000294	العويميري	አልዒወዬሚዬሬ	AM	M	S
A000295	العويني	አልዒወዬኒ	AM	M	S
A000296	العوينية	አልዒወዬኒዬ	AM	M	S
A000297	العويهي	አልዒወዬሂ	AM	M	S
A000298	العويويد	አልዒወዬዊዬድ	AM	M	S
A000299	العويوير	አልዒወዬዊዬር	AM	M	S
A000300	العگيدي	አልዒገዬዲ	AM	M	S
A000301	العگيلي	አልዒገዬሊ	AM	M	S
A000302	الغرمولي	አልገርሙሊ	AM	M	S
A000303	الغبيبي	አልጊበዬቢ	AM	M	S
A000304	الغبيدي	አልጊበዬዲ	AM	M	S
A000305	الغبيري	አልጊበዬሪ	AM	M	S
A000306	الغبيسي	አልጊበዬሢ	AM	M	S
A000307	الغبيشي	አልጊበዬሺ	AM	M	S
A000308	الغبيضي	አልጊበዬዸ	AM	M	S
A000309	الغبيني	አልጊበዬኒ	AM	M	S
A000310	الغتيمي	አልጊተዬሚ	AM	M	S
A000311	الغتيني	አልጊተዬኒ	AM	M	S
A000312	الغثيبي	አልጊሰዬቢ	AM	M	S
A000313	الغثيمي	አልጊሰዬሚ	AM	M	S
A000314	الغثيني	አልጊሰዬኒ	AM	M	S
A000315	الغديبي	አልጊደዬቢ	AM	M	S
A000316	قسم الخالق	ቀሢሙ አልኸአሊቇ	AM	M	G
A000317	قسم الفضيل	ቀሢሙ አልቨዸዬል	AM	M	G
A000318	أبو الرب	Αβυ Αραβ		M	K
A000319	أبو تاية	Αβυ Ταια		M	K
A000320	أبو جودة	Αβυ Γυδα		M	K
A000321	أبو جابر	Αβυ Γαβερ		M	K
A000322	أبو حسان	Αβυ Ηασαν		M	K
A000323	أبو حشيش	Αβυ Ηασεισ		M	K
A000324	باوزير	Βαωαζειρ		M	K
A000325	البناي	Αλβαναι		M	S
A000326	البنبلي	Αλβανβαλει		M	S
A000327	البندري	Αλβανδαρει		F	G
A000328	البندي	Αλβανδει		M	S
A000329	البنعلي	Αλβαναλει		M	S
A000330	البنوت	Αλβανυτ		F	G
A000331	البنوري	Αλβανυρει		M	S
A000332	البنون	Αλβανυν		F	G
A000333	البنوني	Αλβανυνει		M	S
A000334	البهاري	Αλβαερει		F	G
A000335	البهري	Αλβαερει		M	S
A000336	البهلول	Αλβαελυλ		M	S
A000337	البهلول	Αλβυελυλ		M	S
A000338	البواطنة	Αλβαωατενα		M	C
A000339	البواعنة	Αλβαωαενα		M	C
A000340	البوالصة	Αλβαωαλεσα		M	C
A000341	البوعلي	Αλβυαλει		M	S
A000342	البياتي	Αλβιατει		M	S
A000343	البيداء	Αλβαιδα		F	G
A000344	البيش	Αλβαισ		M	S
A000345	البيضاء	Αλβαιδα		F	G
A000346	با بريجة	Βα βαρειγα		M	K
A000347	با بطين	Βα βατειν		M	K
A000348	با بعير	Βα βαειρ		M	K
A000349	بنعبد الله	Βεναβδ Αλλάχ		M	N
A000350	بن شملان	Βεν Σαμλαν		M	N
A000351	سها	Συε		F	G
A000352	سهاء	Συε		F	G
A000353	سهابي	Σαεβει		M	G
A000354	سهاد	Συεδ		F	G
A000355	سهاري	Σαερει		F	G
A000356	سهام	Σεεμ		F	G
A000357	سهام الدين	Σεεμυ Αδειν		M	G
A000358	سهامة	Σαεμα		F	G
A000359	سهامة	Σεεμα		F	G
A000360	سهاي	Σεεει		M	G
A000361	سهايب	Σαειβ		M	G
A000362	سهايل	Σαειλ		M	G
A000363	سهب	Σαεβ		M	G
A000364	سهبان	Σαεβαν		M	G
A000365	سهتاني	Σαετανει		M	G
A000366	سهجان	Σαεγαν		M	G
A000367	سهد	Συεδ		M	G
A000368	سهدي	Σαεδει		M	G
A000369	سهر	Σαερ		F	G
A000370	سهراب	Σαεραβ		M	G
A000371	سهرابي	Σαεραβει		M	G
A000372	سهران	Σαεραν		M	G
A000373	سهرة	Σαερα		F	G
A000374	سهل	Σαελ		M	G
A000375	سهلاء	Σαελα		M	G
A000376	سهلالي	Σαελαλει		M	G
A000377	سهلان	Σαελαν		M	G
A000378	سهلة	Σαελα		F	G
A000379	سهلول	Σαελυλ		M	G
A000380	سهلي	Σαελει		M	G
A000381	سهم	Σαεμ		M	G
A000382	سهم الدين	Σαεμυ Αδειν		M	G
A000383	سهمود	Σαεμυδ		M	G
A000384	سهند	Συενδ		M	G
A000385	سهو	Σαεω		F	G
A000386	سهوان	Σαεωαν		M	G
A000387	سهول	Σαευλ		M	G
A000388	سهول	Συευλ		M	G
A000389	سهؤ	Σαευ		M	G
A000390	سهى	Συε		F	G
A000391	سهيب	Σαεειβ		M	G
A000392	سهير	Συειρ		F	G
A000393	سهيرة	Σαεειρα		F	G
A000394	سهيف	Σαεειφ		M	G
A000395	سهيل	Σαεειλ		M	G
A000396	سهيل	Συειλ		M	G
A000397	سهيلا	Συειλα		F	G
A000398	سهيلة	Σαεειλα		F	G
A000399	سهيلة	Συειλα		F	G
A000400	سهيلي	Σαεειλει		M	S
A000401	سهيم	Σαεειμ		M	G
A000402	سهيمة	Σαεειμα		F	G
A000403	سواء	Σαωα		F	G
A000404	سوات	Σαωατ		M	G
A000405	سواحة	Σαωαηα		F	G
A000406	سواحرة	Σαωαερα		M	C
A000407	سواحري	Σαωαερει		M	C
A000408	سواحل	Σαωαελ		M	G
A000409	سواحلة	Σαωαελα		M	C
A000410	سواخنة	Σαωαχενα		M	C
A000411	سوادة	Σαωαδα		F	G
A000412	سوادحة	Σαωαδεηα		M	C
A000413	سوادي	Σαωαδει		F	G
A000414	سوار	Σεωαρ		M	G
A000415	سوارة	Σεωαρα		F	G
A000416	سوارس	Σαωαρεσ		M	G
A000417	سوارقة	Σαωαρεγα		M	C
A000418	سواركة	Σαωαρεκα		M	C
A000419	سوارين	Σεωαραιν		F	G
A000420	سواعدة	Σαωαεδα		M	C
A000421	سواعنة	Σαωαενα		M	C
A000422	سواغنة	Σαωαγενα		M	C
A000423	سوافطة	Σαωαφετα		M	C
A000424	سواقعة	Σαωαγε		M	C
A000425	سوالفة	Σαωαλεφα		M	C
A000426	سوالقة	Σαωαλεγα		M	C
A000427	سوالكة	Σαωαλεκα		M	C
A000428	سوالمة	Σαωαλεμα		M	C
A000429	سوالمي	Σαωαλεμει		M	S
A000430	سوامرة	Σαωαμερα		M	C
A000431	سوبرة	Σαωβαρα		F	G
A000432	سوداء	Σαωδα		F	G
A000433	سوداني	Συδανει		M	S
A000434	سودة	Συδα		F	G
A000435	عذبة	Αζβα		F	G
A000436	عذر	Αζρ		M	G
A000437	عذراء	Αζρα		F	G
A000438	عذرة	Αζρα		F	G
A000439	عذرون	Αζρυν		M	G
A000440	عذري	Αζρει		M	S
A000441	عذلة	Αζλα		F	G
A000442	عذوف	Αζυφ		M	G
A000443	عذيب	Αζειβ		M	G
A000444	عذيبة	Αζειβα		F	G
A000445	عذيبي	Αζειβει		M	G
A000446	الطميهي	Ατεμαιεει		M	S
A000447	الطميوي	Ατεμαιωει		M	S
A000448	الطنيحي	Ατεναιει		M	S
A000449	الطنيخي	Ατεναιχει		M	S
A000450	الطنيزي	Ατεναιζει		M	S
A000451	الطنيقي	Ατεναιγει		M	S
A000452	الطنيمي	Ατεναιμει		M	S
A000453	الطهيشي	Ατεεισει		M	S
A000454	الطهيطي	Ατεειτει		M	S
A000455	الطهيفي	Ατεειφει		M	S
A000456	الطهيقي	Ατεειγει		M	S
A000457	الطهيني	Ατεεινει		M	S
A000458	الطويبي	Ατεωαιβει		M	S
A000459	الطويخي	Ατεωαιχει		M	S
A000460	الطويدي	Ατεωαιδει		M	S
A000461	الطويري	Ατεωαιρει		M	S
A000462	الطويريقي	Ατεωαιρειγι		M	S
A000463	الطويشي	Ατεωαισει		M	S
A000464	الطويطين	Ατεωαιτειν		M	S
A000465	الطويعي	Ατεωαιαει		M	S
A000466	الطويقي	Ατεωαιγει		M	S
A000467	الطويكي	Ατεωαικει		M	S
A000468	الطويلية	Ατεωαιλεια		M	S
A000469	الطويني	Ατεωαινει		M	S
A000470	الطويهي	Ατεωαιεει		M	S
A000471	الطويوي	Ατεωαιωει		M	S
A000472	الظبيبي	Αζεβαιβει		M	S
A000473	الظبيري	Αζεβαιρει		M	S
A000474	الظبيطي	Αζεβαιτει		M	S
A000475	الظبيعي	Αζεβαιαει		M	S
A000476	الظريبي	Αζεραιβει		M	S
A000477	الظريسي	Αζεραισει		M	S
A000478	الظريفي	Αζεραιφει		M	S
A000479	الظريقي	Αζεραιγει		M	S
A000480	الظريمي	Αζεραιμει		M	S
A000481	الظريني	Αζεραινει		M	S
A000482	الظعيني	Αζεινει		M	S
A000483	الظليلي	Αζελαιλει		M	S
A000484	الظليمي	Αζελαιμει		M	S
A000485	الظميري	Αζεμαιρει		M	S
A000486	الظميني	Αζεμαινει		M	S
A000487	الظنيني	Αζεναινει		M	S
A000488	الظهيبي	Αζεειβει		M	S
A000489	الظهيري	Αζεειρει		M	S
A000490	الظهيفي	Αζεειφει		M	S
A000491	الظويري	Αζεωαιρει		M	S
A000492	الظويعي	Αζεωαιαει		M	S
A000493	الظويلي	Αζεωαιλει		M	S
A000494	العبدولي	Αλαβδυλει		M	S
A000495	العطوي	Αλατυι		M	S
A000496	العنفولي	Αλανφυλει		M	S
A000497	العيسولي	Αλαισυλει		M	S
A000498	العبيتي	Αλαεβαιτει		M	S
A000499	العبيخي	Αλαεβαιχει		M	S
A000500	العبيدي	Αλαεβαιδει		M	S
A000501	العبيري	Αλαεβαιρει		M	S
A000502	العبيسي	Αλαεβαισει		M	S
A000503	العبيسية	Αλαεβαισεια		M	C
A000504	العبيشي	Αλαεβαισει		M	S
A000505	العبيطي	Αλαεβαιτει		M	S
A000506	العبيكي	Αλαεβαικει		M	S
A000507	العبيلي	Αλαεβαιλει		M	S
A000508	العبيوي	Αλαεβαιωει		M	S
A000509	العتيبي	Αλαεταιβει		M	S
A000510	العتيبية	Αλαεταιβεια		M	S
A000511	العتيري	Αλαεταιρει		M	S
A000512	العتيسي	Αλαεταισει		M	S
A000513	العتيفي	Αλαεταιφει		M	S
A000514	العتيقي	Αλαεταιγει		M	S
A000515	العتيلي	Αλαεταιλει		M	S
A000516	العتيلية	Αλαεταιλεια		M	S
A000517	العتيمي	Αλαεταιμει		M	S
A000518	العتيني	Αλαεταινει		M	S
